TITLE,CODE,CATEGORY,REGION,ADDRESS,CITY,STATE,GPS,FILENAME,,
9-11 Memorial - Two pieces of steel from ground zero - Veterans Memorial Center,911428,911,,400 S Sykes Creek Pkwy,Merritt Island,FL,"28.351384, -80.682818",911428.jpg,,
9-11 Memorial - American Eagle with its talons clutching steel from the WTC,911442,911,,E Romana St and Bayfront Pkwy,Pensacola,FL,"30.413280, -87.203234",911442.jpg,,
9-11 Memorial - AL Post 392,911443,911,,535 Oak Ave,Panama City*,FL,"30.157903, -85.664265",911443.jpg,,
War on Terror 9-11 Memorial,911450,911,,925 N Jefferson St.,Perry,FL,"30.12383, -83.58158",911450.jpg,,
9-11 Memorial,911466,911,,8752 Centerville Road,Tallahassee,FL,"30.561783, -84.148539",911466.jpg,,
9-11 Memorial - Pinellas Suncoast Fire & Rescue Bldg,911476,911,,304 1st St,Indian Rocks Beach,FL,"27.881160, -82.849760",911476.jpg,,
9-11 Memorial - Friendship Park,911477,911,,16434 Redington Dr,Redington Beach,FL,"27.814984, -82.817720",911477.jpg,,
9-11 Memorial,911478,911,,31 Piazza Dr.,Port St. Lucie,FL,"27.324045, -80.404968",911478.jpg,,
* 9-11 Memorial,911479,911,,7900 SW 40th St,Miami,FL,"25.728442, -80.321503",911479.jpg,,
9-11 Memorial,911481,911,,59255 Overseas Hwy,Marathon,FL,"24.769011, -80.942599",911481.jpg,,
* 9-11 Memorial,911482,911,,1024 Grinnell St,Key West,FL,"24.553788, -81.793121",911482.jpg,,
9-11 Memorial Mural,911488,911,,27490 Old 41 Rd,Bonita Springs,FL,"26.338321, -81.779177",911488.jpg,,
* 9-11 Memorial - Freedom Park,911514,911,,1515 Golden Gate Pkwy,Naples,FL,"26.173999, -81.787798",911514.jpg,,
9/11 Memorial - Clarkesville Fire Department,911058,911,,303 Adams Street,Clarkesville,GA,"34.615963, -83.524430",911058.jpg,,
9/11 Memorial - Pembroke Police Department,911102,911,,154 W Railroad St,Pembroke,GA,"32.135467, -81.624000",911102.jpg,,
9/11 Memorial - Dekalb County Police and Fire & Rescue Buildings,911148,911,,175 W. Exchange Pl.,Tucker,GA,"33.841448, -84.245635",911148.jpg,,
Tallapoosa 9/11 Memorial ,911151,911,,261 Robertson Ave,Tallapoosa,GA,"33.749035, -85.290594",911151.jpg,,
Suwanee 9/11 Memorial ,911152,911,,Town Center Ave,Suwanee,GA,"34.056979, -84.064053",911152.jpg,,
We WIll Not Forget 9/11 Memorial,911223,911,,E Cherokee Ave and S Public Square,Cartersville,GA,"34.16578, -84.79583",911223.jpg,,
Kennesaw 9/11 Memorial Plaque,911329,911,,N Main St and Lewis St,Kennesaw,GA,"34.024132, -84.615104",911329.jpg,,
